t,x,z,vx,vz
0.39,0.5633947883145531,1.7202406021721415,1.4446020213193669,2.405372056851644
0.395,0.5706177984211499,1.7322210874563995,1.4446020213193669,2.3868220568516443
0.4,0.5778408085277468,1.7441088227406578,1.4446020213193669,2.3682720568516444
0.405,0.5850638186343436,1.7559038080249163,1.4446020213193669,2.349722056851644
0.41000000000000003,0.5922868287409405,1.767606043309174,1.4446020213193669,2.3311720568516443
0.41500000000000004,0.5995098388475373,1.7792155285934328,1.4446020213193669,2.3126220568516445
0.42,0.606732848954134,1.7907322638776906,1.4446020213193669,2.294072056851644
0.425,0.6139558590607309,1.8021562491619492,1.4446020213193669,2.2755220568516448
0.43,0.6211788691673278,1.8134874844462068,1.4446020213193669,2.2569720568516445
0.435,0.6284018792739245,1.8247259697304654,1.4446020213193669,2.238422056851644
0.44,0.6356248893805214,1.8358717050147235,1.4446020213193669,2.2198720568516443
0.445,0.6428478994871183,1.8469246902989818,1.4446020213193669,2.2013220568516445
0.45,0.6500709095937152,1.85788492558324,1.4446020213193669,2.182772056851644
0.455,0.6572939197003119,1.8687524108674982,1.4446020213193669,2.1642220568516444
0.46,0.6645169298069088,1.8795271461517569,1.4446020213193669,2.1456720568516445
0.465,0.6717399399135057,1.8902091314360145,1.4446020213193669,2.1271220568516442
0.47000000000000003,0.6789629500201024,1.9007983667202732,1.4446020213193669,2.1085720568516444
0.47500000000000003,0.6861859601266993,1.9112948520045312,1.4446020213193669,2.0900220568516445
0.48,0.6934089702332961,1.9216985872887895,1.4446020213193669,2.0714720568516443
0.485,0.7006319803398929,1.9320095725730473,1.4446020213193669,2.0529220568516444
0.49,0.7078549904464898,1.9422278078573059,1.4446020213193669,2.0343720568516446
0.495,0.7150780005530866,1.9523532931415641,1.4446020213193669,2.0158220568516443
0.5,0.7223010106596834,1.962386028425822,1.4446020213193669,1.9972720568516444
0.505,0.7295240207662803,1.9723260137100804,1.4446020213193669,1.9787220568516444
0.51,0.7367470308728771,1.9821732489943384,1.4446020213193669,1.9601720568516443
0.515,0.743970040979474,1.9919277342785973,1.4446020213193669,1.9416220568516445
0.52,0.7511930510860708,2.0015894695628553,1.4446020213193669,1.9230720568516444
0.525,0.7584160611926677,2.0111584548471138,1.4446020213193669,1.9045220568516443
0.53,0.7656390712992645,2.020634690131372,1.4446020213193669,1.8859720568516443
0.535,0.7728620814058613,2.0300181754156297,1.4446020213193669,1.8674220568516444
0.54,0.7800850915124582,2.039308910699888,1.4446020213193669,1.8488720568516444
0.545,0.787308101619055,2.048506895984146,1.4446020213193669,1.8303220568516445
0.55,0.7945311117256518,2.0576121312684044,1.4446020213193669,1.8117720568516442
0.555,0.8017541218322487,2.066624616552663,1.4446020213193669,1.7932220568516444
0.56,0.8089771319388456,2.075544351836921,1.4446020213193669,1.774672056851644
0.5650000000000001,0.8162001420454423,2.0843713371211794,1.4446020213193669,1.7561220568516442
0.5700000000000001,0.8234231521520392,2.0931055724054373,1.4446020213193669,1.7375720568516444
0.5750000000000001,0.8306461622586361,2.1017470576896957,1.4446020213193669,1.719022056851644
0.58,0.8378691723652327,2.110295792973954,1.4446020213193669,1.7004720568516447
0.585,0.8450921824718296,2.1187517782582117,1.4446020213193669,1.6819220568516444
0.59,0.8523151925784264,2.12711501354247,1.4446020213193669,1.6633720568516446
0.595,0.8595382026850232,2.1353854988267287,1.4446020213193669,1.6448220568516447
0.6,0.8667612127916201,2.143563234110987,1.4446020213193669,1.6262720568516444
0.605,0.873984222898217,2.151648219395245,1.4446020213193669,1.6077220568516446
0.61,0.8812072330048137,2.159640454679503,1.4446020213193669,1.5891720568516443
0.615,0.8884302431114106,2.167539939963761,1.4446020213193669,1.5706220568516445
0.62,0.8956532532180075,2.1753466752480195,1.4446020213193669,1.5520720568516446
0.625,0.9028762633246044,2.183060660532278,1.4446020213193669,1.5335220568516443
0.63,0.9100992734312011,2.190681895816536,1.4446020213193669,1.5149720568516445
0.635,0.917322283537798,2.198210381100794,1.4446020213193669,1.4964220568516442
0.64,0.9245452936443949,2.2056461163850525,1.4446020213193669,1.4778720568516444
0.645,0.9317683037509916,2.2129891016693106,1.4446020213193669,1.4593220568516445
0.65,0.9389913138575885,2.220239336953569,1.4446020213193669,1.4407720568516442
0.655,0.9462143239641854,2.227396822237827,1.4446020213193669,1.4222220568516444
0.66,0.9534373340707822,2.234461557522085,1.4446020213193669,1.4036720568516445
0.665,0.960660344177379,2.2414335428063437,1.4446020213193669,1.3851220568516442
0.67,0.9678833542839759,2.248312778090602,1.4446020213193669,1.3665720568516444
0.675,0.9751063643905727,2.25509926337486,1.4446020213193669,1.3480220568516441
0.68,0.9823293744971695,2.2617929986591183,1.4446020213193669,1.3294720568516443
0.685,0.9895523846037664,2.2683939839433767,1.4446020213193669,1.3109220568516444
0.6900000000000001,0.9967753947103632,2.2749022192276347,1.4446020213193669,1.2923720568516441
0.6950000000000001,1.0039984048169601,2.281317704511893,1.4446020213193669,1.2738220568516443
0.7000000000000001,1.011221414923557,2.287640439796151,1.4446020213193669,1.255272056851644
0.705,1.0184444250301536,2.293870425080409,1.4446020213193669,1.2367220568516446
0.71,1.0256674351367505,2.3000076603646677,1.4446020213193669,1.2181720568516448
0.715,1.0328904452433472,2.3060521456489256,1.4446020213193669,1.1996220568516445
0.72,1.040113455349944,2.312003880933184,1.4446020213193669,1.1810720568516446
0.725,1.047336465456541,2.317862866217442,1.4446020213193669,1.1625220568516443
0.73,1.0545594755631378,2.3236291015017003,1.4446020213193669,1.1439720568516445
0.735,1.0617824856697347,2.3293025867859587,1.4446020213193669,1.1254220568516446
0.74,1.0690054957763315,2.334883322070217,1.4446020213193669,1.1068720568516444
0.745,1.0762285058829284,2.3403713073544754,1.4446020213193669,1.0883220568516445
0.75,1.083451515989525,2.3457665426387333,1.4446020213193669,1.0697720568516447
0.755,1.090674526096122,2.3510690279229918,1.4446020213193669,1.0512220568516444
0.76,1.0978975362027188,2.35627876320725,1.4446020213193669,1.0326720568516445
0.765,1.1051205463093157,2.361395748491508,1.4446020213193669,1.0141220568516442
0.77,1.1123435564159125,2.3664199837757662,1.4446020213193669,0.9955720568516444
0.775,1.1195665665225094,2.3713514690600244,1.4446020213193669,0.9770220568516446
0.78,1.1267895766291063,2.3761902043442826,1.4446020213193669,0.9584720568516443
0.785,1.1340125867357032,2.380936189628541,1.4446020213193669,0.9399220568516444
0.79,1.1412355968422998,2.385589424912799,1.4446020213193669,0.9213720568516441
0.795,1.1484586069488967,2.3901499101970574,1.4446020213193669,0.9028220568516443
0.8,1.1556816170554935,2.3946176454813157,1.4446020213193669,0.8842720568516445
0.805,1.1629046271620904,2.398992630765574,1.4446020213193669,0.8657220568516442
0.81,1.1701276372686873,2.4032748660498324,1.4446020213193669,0.8471720568516443
0.8150000000000001,1.1773506473752842,2.4074643513340903,1.4446020213193669,0.828622056851644
0.8200000000000001,1.184573657481881,2.411561086618349,1.4446020213193669,0.8100720568516442
0.8250000000000001,1.1917966675884777,2.4155650719026065,1.4446020213193669,0.7915220568516443
0.8300000000000001,1.1990196776950746,2.419476307186865,1.4446020213193669,0.772972056851644
0.835,1.2062642633532303,2.423294792471123,1.4545701152977188,0.7544220568516447
0.84,1.2135656804293597,2.4270205277553814,1.465973453550365,0.7358720568516444
0.845,1.2209237652726967,2.4306535130396396,1.4772372221806387,0.7173220568516445
0.85,1.228337820035129,2.434193748323898,1.4883614211885403,0.6987720568516447
0.855,1.2358071468685448,2.437641233608156,1.4993460505740697,0.6802220568516444
0.86,1.2433310479248323,2.4409959688924143,1.510191110337227,0.6616720568516445
0.865,1.2509088253558798,2.4442579541766722,1.520896600478012,0.6431220568516447
0.87,1.2585397813135752,2.4474271894609307,1.5314625209964243,0.6245720568516444
0.875,1.2662232179498067,2.450503674745189,1.5418888718924648,0.6060220568516446
0.88,1.2739584374164625,2.4534874100294473,1.5521756531661328,0.5874720568516443
0.885,1.2817447418654309,2.4563783953137053,1.5623228648174285,0.5689220568516444
0.89,1.2895814334485995,2.4591766305979634,1.572330506846352,0.5503720568516446
0.895,1.297467814317857,2.4618821158822217,1.5821985792529032,0.5318220568516443
0.9,1.3054031866250915,2.4644948511664797,1.5919270820370826,0.5132720568516445
0.905,1.3133868525221906,2.467014836450738,1.6015160151988892,0.49472205685164417
0.91,1.321418114161043,2.4694420717349965,1.6109653787383238,0.4761720568516443
0.915,1.3294962736935365,2.471776557019255,1.620275172655386,0.4576220568516445
0.92,1.3376206332715597,2.4740182923035134,1.629445396950076,0.4390720568516442
0.925,1.345790495047,2.476167277587771,1.6384760516223935,0.42052205685164434
0.93,1.3540051611717463,2.4782235128720287,1.647367136672339,0.40197205685164406
0.935,1.3622639337976863,2.480186998156287,1.6561186520999123,0.3834220568516442
0.9400000000000001,1.3705661150767081,2.4820577334405463,1.6647305979051135,0.36487205685164437
0.9450000000000001,1.3789110071607,2.4838357187248037,1.673202974087942,0.3463220568516441
0.9500000000000001,1.3872979122015503,2.485520954009062,1.6815357806483984,0.32777205685164423
0.9550000000000001,1.3957261323511467,2.487113439293321,1.6897290175864825,0.3092220568516444
0.96,1.4041949697613776,2.488613174577579,1.6977826849021942,0.29067205685164454
0.965,1.4127037265841311,2.490020159861837,1.705696782595534,0.2721220568516447
0.97,1.4212517049712956,2.4913343951460947,1.7134713106665014,0.2535720568516444
0.975,1.429838207074759,2.492555880430353,1.7211062691150965,0.23502205685164457
0.98,1.4384625350464093,2.4936846157146118,1.7286016579413193,0.21647205685164472
0.985,1.4471239910381348,2.4947206009988694,1.7359574771451696,0.19792205685164443
0.99,1.4558218772018239,2.4956638362831285,1.7431737267266478,0.1793720568516446
